profession_id,job_title,job_industry_category
107,Nuclear Power Engineer,Manufacturing
108,Nurse,Argiculture
109,Nurse Practicioner,Argiculture
110,Occupational Therapist,Health
111,Office Assistant I,Health
112,Office Assistant II,Argiculture
113,Office Assistant III,Financial Services
114,Office Assistant IV,Financial Services
115,Operator,Argiculture
116,Paralegal,Financial Services
117,Payment Adjustment Coordinator,Financial Services
118,Pharmacist,Health
119,Physical Therapy Assistant,Argiculture
120,Product Engineer,Argiculture
121,Professor,Argiculture
122,Programmer Analyst I,Financial Services
123,Programmer Analyst II,Financial Services
124,Programmer Analyst III,Entertainment
125,Programmer Analyst IV,Manufacturing
126,Programmer I,Argiculture
127,Programmer II,Financial Services
128,Programmer III,Argiculture
129,Programmer IV,Argiculture
130,Project Manager,Argiculture
131,Quality Control Specialist,Financial Services
132,Quality Engineer,Entertainment
133,Recruiter,Argiculture
134,Recruiting Manager,Financial Services
135,Registered Nurse,Health
136,Research Assistant I,Argiculture
137,Research Assistant II,Argiculture
138,Research Assistant III,Financial Services
139,Research Assistant IV,Health
140,Research Associate,Argiculture
141,Research Nurse,Health
142,Safety Technician I,Financial Services
143,Safety Technician II,Financial Services
144,Safety Technician III,Argiculture
145,Safety Technician IV,Entertainment
146,Sales Associate,Financial Services
147,Sales Representative,Retail
148,Senior Cost Accountant,Financial Services
149,Senior Developer,Argiculture
150,Senior Editor,Financial Services
151,Senior Financial Analyst,Financial Services
152,Senior Quality Engineer,Argiculture
153,Senior Sales Associate,Argiculture
154,Social Worker,Health
155,Software Consultant,Entertainment
156,Software Engineer I,Financial Services
157,Software Engineer II,Financial Services
158,Software Engineer III,Financial Services
159,Software Engineer IV,Financial Services
160,Software Test Engineer I,Argiculture
161,Software Test Engineer II,Financial Services
162,Software Test Engineer III,Entertainment
163,Software Test Engineer IV,Entertainment
164,Speech Pathologist,Financial Services
165,Staff Accountant I,Financial Services
166,Staff Accountant II,Financial Services
167,Staff Accountant III,Entertainment
168,Staff Accountant IV,Health
169,Staff Scientist,Argiculture
170,Statistician I,Financial Services
171,Statistician II,Financial Services
172,Statistician III,Health
173,Statistician IV,Argiculture
174,Structural Analysis Engineer,Argiculture
175,Structural Engineer,Argiculture
176,Systems Administrator I,Entertainment
177,Systems Administrator II,Manufacturing
178,Systems Administrator III,Argiculture
179,Systems Administrator IV,Financial Services
180,Tax Accountant,Argiculture
181,Teacher,Entertainment
182,Technical Writer,Financial Services
183,VP Accounting,Financial Services
184,VP Marketing,Entertainment
185,VP Product Management,Argiculture
186,VP Quality Control,Argiculture
187,VP Sales,Financial Services
188,Web Designer I,Financial Services
189,Web Designer II,IT
190,Web Designer III,Argiculture
191,Web Designer IV,Financial Services
192,Web Developer I,Financial Services
193,Web Developer II,Entertainment
194,Web Developer III,Entertainment
195,Web Developer IV,Argiculture
197,,Argiculture
